Source,Target,Symbol,Compare Length,Score,Relationship
5217,45,ACHC,2427,0.08418749674672368,3.4687884938905515e-05
5217,46,ACHV,2427,0.13488356743207264,5.55762535772858e-05
5217,47,ACIA,948,0.06357875650332995,6.706619884317505e-05
5217,48,ACIU,856,0.03604004883849593,4.210286079263543e-05
5217,49,ACIW,2427,0.1439333237799716,5.930503658012839e-05
5217,50,ACLS,2427,0.2468004867205936,0.00010168952893308347
5217,51,ACM,2427,0.13580779134389825,5.595706277045664e-05
5217,52,ACMR,576,0.04226720143079807,7.338055803957998e-05
5217,53,ACN,2427,0.0777136376271587,3.20204522567609e-05
5217,54,ACNB,2427,0.019333017648061435,7.965808672460418e-06
5217,55,ACOR,2427,0.18211855100903637,7.503854594521483e-05
5217,56,ACP,2280,0.025037309267328955,1.0981275994442524e-05
5217,57,ACRE,1965,0.03726957425943873,1.8966704457729632e-05
5217,58,ACRS,1100,0.028934330805041097,2.6303937095491908e-05
5217,59,ACRX,2269,0.1453341604929911,6.40520760215915e-05
5217,60,ACST,2021,0.06866185505613193,3.3974198444399765e-05
5217,61,ACTG,2427,0.1844772669896982,7.601041079097578e-05
5217,64,ACU,2427,0.026525167811773453,1.0929199757632243e-05
5217,65,ACV,1195,0.03928519143273802,3.287463718220755e-05
5217,66,ACY,2427,0.03186421877722194,1.3129055944467218e-05
5217,67,ADAP,1206,0.04131955298154339,3.4261652555176944e-05
5217,68,ADBE,2427,0.15071833949656227,6.210067552392348e-05
5217,69,ADC,2427,0.04389248484518051,1.8085078222159256e-05
5217,70,ADES,2427,0.12732981851172398,5.2463872481138845e-05
5217,71,ADI,2427,0.11330453990959365,4.6685018504158896e-05
5217,72,ADIL,393,0.013208072917805685,3.360832803512897e-05
5217,73,ADM,2427,0.057720886394940246,2.3782812688479704e-05
5217,74,ADMA,1595,0.027157319561957827,1.702653264072591e-05
5217,75,ADMP,2427,0.07171637889772885,2.9549393859797628e-05
5217,76,ADMS,1475,0.10814837905950708,7.332093495559802e-05
5217,77,ADNT,840,0.05491038977646631,6.536951163865037e-05
5217,78,ADP,2427,0.058999765861737455,2.4309751076117618e-05
5217,80,ADRO,1221,0.10127905282678944,8.294762721276776e-05
5217,81,ADS,2427,0.09888979405880086,4.0745691824804635e-05
5217,82,ADSK,2427,0.1790996163674199,7.379465033680259e-05
5217,83,ADSW,847,0.013451039907558813,1.588080272439057e-05
5217,84,ADT,524,0.03288657363828929,6.276063671429254e-05
5217,85,ADTN,2427,0.1362726735323032,5.614860878957693e-05
5217,86,ADUS,2427,0.1025657651913223,4.226030704215999e-05
5217,87,ADVM,1398,0.09321025272562915,6.667400051904803e-05
5217,88,ADX,2427,0.05288326311881971,2.1789560411544997e-05
5217,90,ADXS,2427,0.08809870590568898,3.6299425589488665e-05
5217,91,AE,2427,0.0916427370712879,3.7759677408853684e-05
5217,92,AEB,2427,0.011274130659317557,4.645294874049262e-06
5217,93,AEE,2427,0.02328890314896563,9.595757374934334e-06
5217,94,AEF,2427,0.05035892998464825,2.0749456112339616e-05
5217,96,AEG,2427,0.08982245894678845,3.7009665820679215e-05
5217,97,AEGN,2427,0.13960103343113603,5.751999729342235e-05
5217,98,AEHR,2427,0.06328930777884875,2.607717667031263e-05
5217,99,AEIS,2427,0.16701075606482846,6.881366133697094e-05
5217,100,AEL,2427,0.10788968759018386,4.445392978581947e-05
5217,101,AEM,2427,0.026022981707469254,1.0722283357012465e-05
5217,102,AEMD,2427,0.02500809650560315,1.0304118873342872e-05
5217,103,AEO,2427,0.11078689010955392,4.5647667947900256e-05
5217,104,AEP,2427,0.012501487696077852,5.151004407119016e-06
5217,105,AER,2427,0.11305469984824365,4.658207657529611e-05
5217,106,AERI,1589,0.13701169830230356,8.622510906375303e-05
5217,107,AES,2427,0.07972208365401444,3.284799491306734e-05
5217,108,AESE,582,0.0036423303640103445,6.258299594519492e-06
5217,109,AEY,2427,0.020079372552042802,8.27333026454174e-06
5217,110,AEYE,1716,0.043458913902855716,2.5325707402596572e-05
5217,111,AEZS,2427,0.14239638262429202,5.867176869562918e-05
5217,113,AFC,2427,0.008130483437121706,3.3500137771412055e-06
5217,114,AFG,2427,0.04872549664542013,2.0076430426625517e-05
5217,116,AFGH,1067,0.002017039116857271,1.890383427232681e-06
5217,117,AFH,1767,0.020818295308805454,1.178171777521531e-05
5217,118,AFI,988,0.033400398822365944,3.380607168255662e-05
